scenario_id,primary_scenario,fingerprint,candidate,scenario_observations,candidate_oos_dates,overlap_oos_dates,overlap_pct_of_scenario,current_oos_windows,target_oos_windows,queue_priority,queue_action,research_priority,methodology_min_observations,execution_readiness,readiness_reason
UNEXPLORED_5,FLAT,93124ec8190bd08f,TRACK_C_FACTOR_INTERACTION,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_5,FLAT,93124ec8190bd08f,TRACK_C_REGIME_AWARE,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_5,FLAT,93124ec8190bd08f,TRACK_C_SCENARIO_WEAPON,3,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 3.
UNEXPLORED_13,FLAT,4d0babae7f4495ea,TRACK_B_BASELINE_FAILURE,2,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_13,FLAT,4d0babae7f4495ea,TRACK_B_CONDITIONAL_SCORE,2,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_13,FLAT,4d0babae7f4495ea,TRACK_B_FACTOR_AGREEMENT,2,100,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 0 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
UNEXPLORED_13,FLAT,4d0babae7f4495ea,TRACK_C_FACTOR_INTERACTION,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_13,FLAT,4d0babae7f4495ea,TRACK_C_REGIME_AWARE,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_13,FLAT,4d0babae7f4495ea,TRACK_C_SCENARIO_WEAPON,2,0,0,0.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,140,BLOCKED_NO_HOLDOUT,Track-C adapter requires 140 chronological observations; scenario has only 2.
UNEXPLORED_23,CHOPPY,c812c38fa8967922,TRACK_B_BASELINE_FAILURE,2,100,2,100.0,0,10,P3,WAIT_FOR_SCENARIO_HISTORY,LOW,20,BLOCKED_NO_HOLDOUT,Only 2 exact overlapping OOS dates; existing Track-B holdout path requires >=20 observations.
